timestamp,nao,ao,pna,mjo80e,mjo70e,mjo40w,mjo20e,mjo160e,mjo140e,mjo120w,mjo120e,mjo10w,mjo100e,nino4,nino3,nino34
1982-03-01,1.059,2.604,-0.305,-0.36,-0.0,0.46,0.28,-0.11,-0.33,0.18,-0.45,0.46,-0.49,-0.08124026,-0.2735249,-0.3974556
1982-03-02,0.796,2.676,-0.251,-0.16,0.19,0.32,0.4,-0.29,-0.42,-0.02,-0.45,0.46,-0.41,-0.104295,-0.2585751,-0.4486032
1982-03-03,0.797,2.157,-0.431,0.04,0.39,0.19,0.52,-0.46,-0.52,-0.23,-0.44,0.47,-0.34,-0.03905951,-0.05714484,-0.1756704
1982-03-04,0.832,1.745,-0.726,0.24,0.59,0.05,0.64,-0.63,-0.62,-0.44,-0.44,0.48,-0.26,0.1098974,0.0531527,0.04801223
1982-03-05,0.83,1.817,-0.73,0.21,0.6,0.07,0.67,-0.65,-0.64,-0.45,-0.45,0.52,-0.31,0.1331496,0.08177882,0.07521747
1982-03-06,1.065,1.953,-0.554,0.19,0.62,0.09,0.7,-0.67,-0.67,-0.45,-0.46,0.55,-0.36,0.009700371,0.1249684,-0.04173179
1982-03-07,1.217,1.941,-0.323,0.16,0.63,0.12,0.74,-0.7,-0.69,-0.46,-0.46,0.59,-0.4,-0.05065885,-0.05546483,-0.2798979
1982-03-08,1.178,1.615,-0.539,0.14,0.65,0.14,0.77,-0.72,-0.72,-0.46,-0.47,0.62,-0.45,0.006461027,-0.3220061,-0.3590044
1982-03-09,1.423,2.126,-0.916,0.11,0.66,0.16,0.8,-0.74,-0.74,-0.47,-0.48,0.66,-0.5,0.03247537,-0.4613532,-0.3614296
1982-03-10,1.682,2.765,-1.06,-0.05,0.52,0.28,0.73,-0.63,-0.69,-0.31,-0.52,0.68,-0.58,0.02709598,-0.4191436,-0.3749551
1982-03-11,1.478,2.451,-0.974,-0.21,0.39,0.41,0.67,-0.52,-0.65,-0.15,-0.56,0.7,-0.65,-0.04095607,-0.4119081,-0.424222
1982-03-12,1.195,1.536,-0.833,-0.36,0.25,0.53,0.6,-0.4,-0.6,0.0,-0.61,0.73,-0.73,-0.07117557,-0.4656052,-0.3900918
1982-03-13,1.093,0.418,-0.696,-0.52,0.12,0.66,0.54,-0.29,-0.56,0.16,-0.65,0.75,-0.8,-0.07427176,-0.5332522,-0.3103301
1982-03-14,0.933,-0.511,-0.639,-0.68,-0.02,0.78,0.47,-0.18,-0.51,0.32,-0.69,0.77,-0.88,-0.09683132,-0.5116542,-0.2905206
1982-03-15,0.417,-1.699,-0.596,-0.47,0.17,0.62,0.57,-0.34,-0.59,0.11,-0.66,0.75,-0.79,-0.09531788,-0.4101564,-0.2409049
1982-03-16,0.113,-2.286,-0.559,-0.26,0.36,0.47,0.67,-0.51,-0.67,-0.11,-0.63,0.74,-0.7,-0.1941321,-0.2451886,-0.2454642
1982-03-17,0.112,-2.072,-0.414,-0.04,0.56,0.31,0.77,-0.67,-0.75,-0.32,-0.6,0.72,-0.61,-0.1453556,-0.07605211,-0.1729907
1982-03-18,0.238,-1.721,-0.328,0.17,0.75,0.16,0.87,-0.84,-0.83,-0.54,-0.57,0.71,-0.52,0.01146456,-0.08570002,-0.1198113
1982-03-19,0.312,-1.245,-0.097,0.38,0.94,0.0,0.97,-1.0,-0.91,-0.75,-0.54,0.69,-0.43,0.03947894,-0.1462869,-0.06249946
1982-03-20,0.221,-0.81,-0.076,0.54,1.03,-0.16,0.97,-1.06,-0.88,-0.89,-0.43,0.6,-0.3,0.0173697,-0.09028166,0.08223591
1982-03-21,0.283,0.134,-0.353,0.7,1.12,-0.33,0.97,-1.11,-0.85,-1.03,-0.31,0.51,-0.17,0.1122212,-0.02686784,0.1760294
1982-03-22,0.289,0.783,-0.816,0.87,1.21,-0.49,0.96,-1.17,-0.83,-1.16,-0.2,0.41,-0.04,0.2942868,-0.04197434,0.2056857
1982-03-23,0.285,1.191,-1.119,1.03,1.3,-0.66,0.96,-1.22,-0.8,-1.3,-0.08,0.32,0.09,0.3074865,-0.09323515,0.2084551
1982-03-24,0.375,1.645,-0.816,1.19,1.39,-0.82,0.96,-1.28,-0.77,-1.44,0.03,0.23,0.22,0.2453169,-0.08853269,0.2356335
1982-03-25,0.722,2.018,-0.516,1.33,1.33,-1.03,0.78,-1.17,-0.56,-1.48,0.28,-0.01,0.47,0.2198187,0.04369671,0.2720757
1982-03-26,0.832,1.839,-0.293,1.47,1.28,-1.24,0.6,-1.05,-0.35,-1.52,0.53,-0.26,0.72,0.2182401,0.0591738,0.2096758
1982-03-27,0.551,1.458,-0.295,1.61,1.22,-1.45,0.41,-0.94,-0.14,-1.56,0.78,-0.5,0.98,0.2299851,-0.009034381,0.09208591
1982-03-28,0.434,1.586,-0.885,1.75,1.17,-1.66,0.23,-0.82,0.07,-1.6,1.03,-0.75,1.23,0.1853013,-0.07435954,-0.04912994
1982-03-29,0.448,2.094,-1.152,1.89,1.11,-1.87,0.05,-0.71,0.28,-1.64,1.28,-0.99,1.48,0.05730056,-0.1055062,-0.2056104
1982-03-30,0.268,2.049,-1.14,1.67,0.82,-1.74,-0.17,-0.44,0.46,-1.36,1.31,-1.08,1.47,-0.02294886,-0.1432011,-0.3361934
1982-03-31,0.229,1.853,-1.14,1.45,0.53,-1.61,-0.39,-0.16,0.65,-1.08,1.35,-1.16,1.46,-0.01153487,-0.09667132,-0.3125581
1982-04-01,0.192,1.391,-1.102,1.22,0.24,-1.47,-0.62,0.11,0.83,-0.79,1.38,-1.25,1.44,0.06449253,0.07711927,-0.122618
1982-04-02,0.051,1.009,-0.759,1.0,-0.05,-1.34,-0.84,0.39,1.02,-0.51,1.42,-1.33,1.43,0.1826474,0.1555311,-0.01207852
1982-04-03,-0.142,1.016,-0.65,0.78,-0.34,-1.21,-1.06,0.66,1.2,-0.23,1.45,-1.42,1.42,0.1630871,0.2131902,-0.00848271
1982-04-04,-0.393,0.814,-0.74,0.58,-0.59,-1.07,-1.23,0.88,1.33,0.02,1.44,-1.46,1.39,0.163983,0.1061586,-0.03706326
1982-04-05,-0.667,0.181,-0.687,0.38,-0.83,-0.93,-1.41,1.11,1.46,0.27,1.43,-1.51,1.36,0.2202842,0.08445939,-0.005886503
1982-04-06,-0.982,0.172,-0.799,0.17,-1.08,-0.79,-1.58,1.33,1.6,0.53,1.42,-1.55,1.34,0.3431341,0.2337748,0.2266729
1982-04-07,-1.398,0.866,-0.83,-0.03,-1.32,-0.65,-1.76,1.56,1.73,0.78,1.41,-1.6,1.31,0.2957423,0.3746013,0.3772869
1982-04-08,-1.609,1.336,-1.226,-0.23,-1.57,-0.51,-1.93,1.78,1.86,1.03,1.4,-1.64,1.28,0.2369929,0.3384704,0.3711977
1982-04-09,-1.411,1.221,-1.818,-0.52,-1.56,-0.15,-1.7,1.69,1.6,1.17,1.05,-1.28,0.89,0.2629076,0.4402111,0.4037228
1982-04-10,-0.811,0.875,-2.135,-0.8,-1.56,0.21,-1.48,1.59,1.35,1.31,0.7,-0.92,0.49,0.1592479,0.3734542,0.3094011
1982-04-11,-0.108,0.88,-2.15,-1.09,-1.55,0.57,-1.25,1.5,1.09,1.45,0.34,-0.57,0.1,0.06008626,0.2052063,0.09782193
1982-04-12,0.263,0.72,-1.911,-1.37,-1.55,0.93,-1.03,1.4,0.84,1.59,-0.01,-0.21,-0.3,0.004347808,0.05631269,-0.08596562
1982-04-13,0.539,0.968,-1.708,-1.66,-1.54,1.29,-0.8,1.31,0.58,1.73,-0.36,0.15,-0.69,-0.002192797,-0.05302611,-0.1621522
1982-04-14,0.641,1.756,-1.43,-1.44,-1.17,1.2,-0.47,0.94,0.28,1.41,-0.5,0.33,-0.76,0.01538695,-0.08395378,-0.1219817
1982-04-15,0.339,2.139,-1.056,-1.21,-0.8,1.12,-0.15,0.57,-0.01,1.09,-0.63,0.51,-0.83,-0.01850708,0.001850558,-0.04914193
1982-04-16,0.026,2.278,-0.865,-0.99,-0.43,1.03,0.18,0.21,-0.31,0.76,-0.77,0.7,-0.91,0.1216606,0.01189438,0.03328352
1982-04-17,-0.101,1.997,-0.979,-0.76,-0.06,0.95,0.5,-0.16,-0.6,0.44,-0.9,0.88,-0.98,0.1633124,-0.004239457,0.07226457
1982-04-18,0.017,1.784,-1.0,-0.54,0.31,0.86,0.83,-0.53,-0.9,0.12,-1.04,1.06,-1.05,0.2161829,0.00376312,0.09521703
1982-04-19,0.033,1.627,-0.539,-0.42,0.48,0.8,0.97,-0.7,-1.03,-0.05,-1.08,1.12,-1.06,0.3215851,0.06644937,0.2134127
1982-04-20,0.568,2.215,-0.17,-0.3,0.66,0.73,1.11,-0.87,-1.16,-0.22,-1.13,1.19,-1.07,0.2997755,0.134349,0.2589206
1982-04-21,0.823,2.679,-0.303,-0.17,0.83,0.67,1.25,-1.05,-1.29,-0.38,-1.17,1.25,-1.09,0.2366504,0.2148267,0.2596136
1982-04-22,1.205,2.573,-0.593,-0.05,1.01,0.6,1.39,-1.22,-1.42,-0.55,-1.22,1.32,-1.1,0.296008,0.2232311,0.2734338
1982-04-23,1.363,2.422,-0.986,0.07,1.18,0.54,1.53,-1.39,-1.55,-0.72,-1.26,1.38,-1.11,0.384702,0.1815213,0.2935732
1982-04-24,1.156,1.939,-0.913,0.2,1.11,0.35,1.34,-1.26,-1.34,-0.73,-1.04,1.14,-0.86,0.4465154,0.157292,0.4199675
1982-04-25,0.749,1.369,-0.808,0.34,1.04,0.16,1.14,-1.13,-1.13,-0.75,-0.82,0.89,-0.6,0.5576298,0.03556639,0.5346584
1982-04-26,0.858,1.037,-0.629,0.47,0.96,-0.04,0.95,-1.0,-0.93,-0.76,-0.59,0.65,-0.35,0.5018458,0.078262,0.4951105
1982-04-27,1.145,1.328,-0.182,0.61,0.89,-0.23,0.75,-0.87,-0.72,-0.78,-0.37,0.4,-0.09,0.2654657,0.1288023,0.2497533
1982-04-28,0.82,1.494,0.004,0.74,0.82,-0.42,0.56,-0.74,-0.51,-0.79,-0.15,0.16,0.16,0.1632103,0.0983493,0.03273437
1982-04-29,0.756,1.37,0.027,0.82,0.83,-0.54,0.51,-0.73,-0.44,-0.85,-0.02,0.06,0.26,0.08156712,0.1818749,0.03309895
1982-04-30,0.802,0.603,0.27,0.9,0.84,-0.66,0.46,-0.72,-0.37,-0.92,0.11,-0.04,0.37,0.0507865,0.3256281,0.1506717
1982-05-01,0.56,0.261,0.431,0.98,0.85,-0.77,0.4,-0.71,-0.29,-0.98,0.23,-0.14,0.47,0.162449,0.3624986,0.1770604
1982-05-02,0.236,-0.061,0.347,1.06,0.86,-0.89,0.35,-0.7,-0.22,-1.05,0.36,-0.24,0.58,0.247614,0.3416905,0.1641879
1982-05-03,0.053,-0.65,0.153,1.14,0.87,-1.01,0.3,-0.69,-0.15,-1.11,0.49,-0.34,0.68,0.3572518,0.2761432,0.1905492
1982-05-04,-0.034,-0.669,0.123,1.08,0.68,-1.04,0.09,-0.48,0.07,-0.97,0.65,-0.51,0.79,0.6648524,0.1843823,0.2437598
1982-05-05,-0.127,-0.713,0.039,1.02,0.49,-1.07,-0.13,-0.26,0.29,-0.83,0.82,-0.68,0.91,0.6889775,0.2873014,0.3434718
1982-05-06,-0.103,-0.837,-0.175,0.96,0.29,-1.11,-0.34,-0.05,0.5,-0.7,0.98,-0.85,1.02,0.6159507,0.450548,0.4993133
1982-05-07,0.013,-0.96,-0.533,0.9,0.1,-1.14,-0.56,0.17,0.72,-0.56,1.15,-1.02,1.14,0.5385205,0.5319089,0.5957233
1982-05-08,-0.145,-0.821,-0.767,0.84,-0.09,-1.17,-0.77,0.38,0.94,-0.42,1.31,-1.19,1.25,0.5393062,0.5216554,0.53658
1982-05-09,-0.601,-0.81,-0.863,0.78,-0.19,-1.14,-0.86,0.49,1.02,-0.32,1.33,-1.24,1.27,0.5735517,0.4721209,0.4064681
1982-05-10,-0.887,-0.784,-0.912,0.72,-0.29,-1.1,-0.95,0.59,1.1,-0.22,1.35,-1.28,1.29,0.4890761,0.3968859,0.2428867
1982-05-11,-0.824,-0.889,-1.077,0.66,-0.4,-1.07,-1.04,0.7,1.17,-0.11,1.36,-1.33,1.31,0.3032691,0.1996672,0.0639184
1982-05-12,-0.519,-0.797,-0.949,0.6,-0.5,-1.03,-1.13,0.8,1.25,-0.01,1.38,-1.37,1.33,0.2086682,0.1443887,0.03530715
1982-05-13,-0.278,-1.04,-0.407,0.54,-0.6,-1.0,-1.22,0.91,1.33,0.09,1.4,-1.42,1.35,0.3227026,0.330245,0.1056046
1982-05-14,-0.167,-1.165,-0.061,0.32,-0.82,-0.82,-1.34,1.09,1.4,0.33,1.33,-1.4,1.26,0.3233892,0.5209983,0.2890801
1982-05-15,-0.1,-1.142,0.026,0.09,-1.03,-0.64,-1.45,1.27,1.48,0.57,1.26,-1.38,1.17,0.4547505,0.6224344,0.4908096
1982-05-16,-0.113,-1.048,0.024,-0.13,-1.25,-0.45,-1.57,1.46,1.55,0.82,1.2,-1.36,1.08,0.7133795,0.6626741,0.6758114
1982-05-17,-0.284,-0.771,-0.118,-0.36,-1.46,-0.27,-1.68,1.64,1.63,1.06,1.13,-1.34,0.99,0.83911,0.773993,0.8764411
1982-05-18,-0.386,-0.726,-0.063,-0.58,-1.68,-0.09,-1.8,1.82,1.7,1.3,1.06,-1.32,0.9,0.7553697,0.8201541,0.9216793
1982-05-19,-0.433,-0.581,-0.057,-0.72,-1.72,0.07,-1.75,1.83,1.63,1.4,0.92,-1.2,0.76,0.6643835,0.9269772,0.8706822
1982-05-20,-0.273,-0.337,-0.129,-0.85,-1.76,0.23,-1.7,1.84,1.56,1.5,0.79,-1.08,0.61,0.6541147,0.9628826,0.8917628
1982-05-21,-0.132,0.254,-0.04,-0.99,-1.81,0.38,-1.66,1.84,1.49,1.6,0.65,-0.95,0.47,0.6982033,0.926923,0.9375643
1982-05-22,-0.123,0.752,-0.098,-1.12,-1.85,0.54,-1.61,1.85,1.42,1.7,0.52,-0.83,0.32,0.7635728,0.9146515,1.036062
1982-05-23,-0.044,1.183,0.073,-1.26,-1.89,0.7,-1.56,1.86,1.35,1.8,0.38,-0.71,0.18,0.8610057,0.9098489,1.151855
1982-05-24,0.009,1.519,-0.139,-1.2,-1.5,0.82,-1.08,1.41,0.89,1.53,0.04,-0.31,-0.13,0.8066284,0.8677968,1.061599
1982-05-25,0.082,1.416,-0.409,-1.14,-1.11,0.93,-0.6,0.96,0.42,1.27,-0.3,0.09,-0.44,0.7081605,0.8464081,0.8985198
1982-05-26,-0.064,0.847,-0.092,-1.08,-0.71,1.05,-0.13,0.52,-0.04,1.0,-0.64,0.5,-0.76,0.625141,0.8603494,0.8654163
1982-05-27,-0.276,0.35,-0.216,-1.02,-0.32,1.16,0.35,0.07,-0.51,0.74,-0.98,0.9,-1.07,0.5330701,0.8711341,0.8436602
1982-05-28,-0.173,0.527,-0.667,-0.96,0.07,1.28,0.83,-0.38,-0.97,0.47,-1.32,1.3,-1.38,0.5067831,0.8789377,0.8294203
1982-05-29,0.033,0.717,-1.043,-0.67,0.31,1.02,0.93,-0.58,-1.02,0.17,-1.2,1.23,-1.23,0.4935189,0.8683873,0.8107148
1982-05-30,0.124,0.637,-1.201,-0.38,0.56,0.77,1.03,-0.78,-1.08,-0.13,-1.08,1.16,-1.08,0.483742,0.8447375,0.7977225
1982-05-31,0.259,0.096,-0.666,-0.08,0.8,0.51,1.14,-0.97,-1.13,-0.42,-0.96,1.09,-0.93,0.4819953,0.8232598,0.7923298
1982-06-01,0.342,0.132,-0.312,0.21,1.05,0.26,1.24,-1.17,-1.19,-0.72,-0.84,1.02,-0.78,0.5822219,0.8769365,0.8803427
1982-06-02,0.288,0.153,-0.395,0.5,1.29,0.0,1.34,-1.37,-1.24,-1.02,-0.72,0.95,-0.63,0.6538832,0.8690372,0.9895253
1982-06-03,0.423,-0.118,-0.661,0.59,1.06,-0.21,0.97,-1.08,-0.88,-0.93,-0.4,0.57,-0.28,0.7730677,0.8882493,1.142478
1982-06-04,0.547,-0.418,-0.793,0.68,0.83,-0.43,0.6,-0.79,-0.51,-0.83,-0.07,0.19,0.07,0.8559673,0.8001855,1.130965
1982-06-05,0.171,-0.501,-0.577,0.76,0.61,-0.64,0.24,-0.49,-0.15,-0.74,0.25,-0.19,0.42,0.9363353,0.7950703,1.01581
1982-06-06,-0.634,-0.659,-0.455,0.85,0.38,-0.86,-0.13,-0.2,0.22,-0.64,0.58,-0.57,0.77,1.040228,0.7819422,0.9851289
1982-06-07,-1.119,-0.754,-0.376,0.94,0.15,-1.07,-0.5,0.09,0.58,-0.55,0.9,-0.95,1.12,1.032078,0.7668843,0.9917741
1982-06-08,-1.283,-1.0,-0.472,0.76,-0.05,-0.94,-0.62,0.27,0.69,-0.34,0.9,-0.97,1.08,0.9088971,0.6740711,0.873051
1982-06-09,-1.662,-1.787,-0.4,0.58,-0.24,-0.81,-0.75,0.45,0.79,-0.13,0.9,-0.98,1.03,0.7734985,0.6509367,0.7016239
1982-06-10,-1.907,-2.179,-0.143,0.4,-0.44,-0.68,-0.87,0.63,0.9,0.07,0.9,-1.0,0.99,0.7285526,0.7337325,0.6189285
1982-06-11,-2.044,-1.952,0.315,0.22,-0.63,-0.55,-1.0,0.81,1.0,0.28,0.9,-1.01,0.94,0.7306234,0.8732728,0.7025507
1982-06-12,-1.886,-1.571,0.76,0.04,-0.83,-0.42,-1.12,0.99,1.11,0.49,0.9,-1.03,0.9,0.7803915,0.896723,0.7548171
